id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
449,15,1.38778e-17,2.77556e-17,-0.693147,3.0954e-05,0.000754,0.0410531,20,19,1.05263,18,18,1,Pass
185,50,7.77156e-16,0,Inf,3.4836e-05,0.000486,0.071679,36,27,1.33333,247,116,2.12931,Pass
186,76,1.05471e-15,2.77556e-17,3.63759,3.9134e-05,0.000184,0.212685,52,39,1.33333,546,303,1.80198,Pass
1199,98,5.73847e-14,2.86229e-17,7.60332,0.000153353,0.000185,0.828935,153,130,1.17692,411,197,2.08629,Pass
13,131,1.55431e-15,8.32667e-17,2.92674,0.000121623,0.000193,0.630171,174,152,1.14474,430,353,1.21813,Pass
464,144,1.1653e-15,1.83187e-15,-0.452357,0.000156478,0.000256,0.611242,225,206,1.09223,436,336,1.29762,Pass
97,160,2.498e-16,8.32667e-17,1.09861,0.000116131,0.000175,0.663606,123,114,1.07895,1421,1172,1.21246,Pass
14,167,8.88178e-16,8.32667e-17,2.36712,0.000155488,0.000192,0.809833,223,185,1.20541,680,557,1.22083,Pass
1177,169,3.88578e-16,7.63278e-17,1.62746,0.000135062,0.000188,0.718415,133,123,1.0813,1918,1560,1.22949,Pass
232,180,8.40055e-09,4.85723e-16,16.6659,0.000140947,0.000187,0.753727,306,282,1.08511,1413,1263,1.11876,Pass
103,218,5.32907e-15,1.02696e-15,1.64658,0.000162925,0.00024,0.678854,322,269,1.19703,1111,731,1.51984,Pass
133,222,3.46945e-17,3.46945e-18,2.30259,0.000163618,0.000242,0.676107,249,216,1.15278,617,566,1.09011,Pass
462,188,8.55324e-18,6.10623e-16,-4.26817,0.000169238,0.000259,0.653429,349,284,1.22887,826,494,1.67206,Pass
129,267,2.33147e-15,2.08167e-17,4.7185,0.000173022,0.000285,0.607095,376,317,1.18612,2390,1903,1.25591,Pass
274,281,0,0,NaN,0.000246222,0.00022,1.11919,299,238,1.2563,1615,831,1.94344,Pass
109,291,2.22045e-15,4.51028e-17,3.89652,0.00017724,0.00027,0.656444,336,265,1.26792,2843,1345,2.11375,Pass
262,292,4.27875e-14,1.16573e-15,3.6029,0.000215959,0.000327,0.660425,995,637,1.56201,8333,3060,2.7232,Pass
861,306,1.21431e-16,8.89046e-17,0.31178,0.000183607,0.000231,0.794835,504,503,1.00199,999,999,1,Pass
172,196,3.96384e-15,3.70528e-16,2.37004,0.000150747,0.000203,0.742596,327,299,1.09365,1390,1194,1.16415,Pass
132,320,6.93889e-17,4.16334e-17,0.510826,0.000160626,0.000218,0.736817,311,298,1.04362,857,725,1.18207,Pass
296,211,1.51195e-19,1.249e-16,-6.7167,0.00013565,0.000207,0.655314,460,329,1.39818,3700,1657,2.23295,Pass
264,63,2.41127e-16,5.53708e-17,1.47127,0.000121562,0.000177,0.686791,106,89,1.19101,221,135,1.63704,Pass
106,377,7.26051e-14,3.21965e-15,3.11576,0.000289932,0.000361,0.803136,1252,697,1.79627,17473,4337,4.02882,Pass
318,396,2.85993e-13,9.78384e-16,5.67782,0.000188944,0.000194,0.973938,612,396,1.54545,1279,543,2.35543,Pass
173,16,0,0,NaN,3.1421e-05,0.000172,0.18268,16,19,0.842105,21,20,1.05,Pass
263,250,3.63842e-12,4.996e-16,8.89325,0.000201465,0.00027,0.746167,420,335,1.25373,970,533,1.81989,Pass
293,275,1.86361e-14,2.63895e-16,4.25731,0.000151954,0.00021,0.72359,566,359,1.5766,5423,1854,2.92503,Pass
15,476,2.44249e-15,2.60209e-17,4.54188,0.000299166,0.000369,0.810748,664,548,1.21168,3441,2139,1.6087,Pass
334,467,4.98768e-14,3.26128e-15,2.72744,0.000330024,0.000469,0.703676,1780,1491,1.19383,16161,10467,1.544,Pass
265,250,1.09179e-11,8.88178e-16,9.41674,0.00034037,0.000311,1.09444,437,333,1.31231,1212,528,2.29545,Pass
11,523,1.23235e-14,4.34722e-15,1.04197,0.000256395,0.000381,0.672953,978,923,1.05959,9126,8731,1.04524,Pass
188,297,2.98023e-08,9.62903e-16,17.2479,0.000205874,0.000373,0.551941,780,749,1.04139,5578,5847,0.953994,Pass
136,541,2.45359e-14,5.19029e-15,1.55335,0.00024954,0.000331,0.753897,897,706,1.27054,6239,3535,1.76492,Pass
102,557,1.30451e-15,1.17961e-16,2.40323,0.000220078,0.000335,0.656949,463,492,0.941057,13055,4312,3.0276,Pass
171,76,8.88178e-16,3.90313e-17,3.12481,0.000109895,0.000169,0.650266,104,93,1.11828,148,135,1.0963,Pass
2194,1,0,0,NaN,2.1112e-05,0.000535,0.0394617,2,1,2,0,0,NaN,Pass
158,527,7.18176e-16,4.68375e-17,2.73003,0.000278021,0.000705,0.394356,700,505,1.38614,7126,2062,3.45587,Pass
273,667,1.83187e-15,5.55112e-17,3.49651,0.000478197,0.000532,0.898867,1200,1195,1.00418,15602,9068,1.72056,Pass
1326,60,1.15505e-13,2.22046e-16,6.25418,3.8693e-05,0.000142,0.272486,142,73,1.94521,873,149,5.85906,Pass
108,768,3.26128e-16,7.45931e-17,1.47524,0.000360087,0.000396,0.909311,925,990,0.934343,40434,31958,1.26522,Pass
298,796,3.86358e-13,5.75305e-17,8.8122,0.000294898,0.000285,1.03473,1130,994,1.13682,2524,1983,1.27282,Pass
1195,588,6.80915e-16,1.11239e-16,1.81175,0.000261941,0.000311,0.842254,777,678,1.14602,2077,1602,1.2965,Pass
118,441,1.31659e-13,5.20417e-16,5.53334,0.000286734,0.000379,0.756554,1431,648,2.20833,12860,3313,3.88168,Pass
2417,420,1.94289e-15,1.11022e-16,2.8622,0.0002796,0.000428,0.653271,874,929,0.940797,9281,12655,0.733386,Pass
1325,740,4.52971e-14,3.78762e-16,4.78409,0.000305643,0.000489,0.625037,1585,1176,1.34779,11479,4438,2.58653,Pass
2734,765,1.0267e-08,2.09565e-15,15.4046,0.000336926,0.00047,0.716864,2763,1579,1.74984,52907,14549,3.63647,Pass
253,274,2.65102e-06,8.67396e-17,24.1431,0.000170048,0.000232,0.732966,338,293,1.15358,776,561,1.38324,Pass
313,935,1.18135e-15,7.54858e-16,0.44788,0.000394216,0.000524,0.752321,3329,2832,1.17549,34312,24490,1.40106,Pass
2416,476,0,0,NaN,0.000341926,0.000472,0.724419,928,1036,0.895753,13905,14560,0.955014,Pass
306,496,6.95258e-16,9.36751e-17,2.00445,0.000162875,0.000196,0.830995,583,496,1.1754,3052,2218,1.37601,Pass
1943,335,7.82707e-15,1.249e-16,4.13783,0.000117759,0.000215,0.547716,295,326,0.904908,3259,2845,1.14552,Pass
323,1065,6.54589e-12,1.67455e-16,10.5736,0.000639317,0.000657,0.973085,4972,3371,1.47493,73225,32543,2.2501,Pass
141,883,3.67574e-08,3.49647e-16,18.4707,0.000531341,0.000532,0.998761,3919,1519,2.57999,81703,7553,10.8173,Pass
1630,1120,2.98026e-12,1.16851e-14,5.54145,0.000661729,0.000737,0.897868,6061,3730,1.62493,119168,45215,2.63559,Pass
239,1128,9.31334e-08,1.8097e-16,20.059,0.000742642,0.000637,1.16584,5333,3578,1.4905,79365,34486,2.30137,Pass
113,1182,0,1.14492e-16,-Inf,0.000429884,0.000587,0.732341,1076,1868,0.576017,24794,27100,0.914908,Pass
2338,1174,2.06959e-12,6.47486e-15,5.76718,0.000242631,0.000369,0.657537,1846,1319,1.39955,38637,21917,1.76288,Pass
316,1201,2.18224e-14,2.77556e-17,6.66725,0.000526552,0.000485,1.08567,2361,1993,1.18465,5446,3979,1.36869,Pass
6,687,7.52837e-15,3.51349e-17,5.36724,0.00026577,0.000299,0.888863,1978,721,2.74341,37718,4107,9.18383,Pass
93,1296,1.11022e-15,1.22298e-16,2.20586,0.000420515,0.000605,0.695066,861,1127,0.763975,29227,92500,0.315968,Pass
175,319,9.03281e-15,3.64102e-12,-5.99916,0.00016385,0.000239,0.685565,657,527,1.24668,4302,4425,0.972203,Pass
174,248,6.66134e-16,8.61341e-17,2.04559,0.000212973,0.000315,0.676105,406,348,1.16667,905,508,1.7815,Pass
94,1377,7.35523e-16,9.1073e-17,2.08892,0.000584666,0.000631,0.926571,2243,2389,0.938887,176523,98086,1.79968,Pass
1189,1109,5.60663e-15,1.03251e-14,-0.610626,0.000508885,0.000614,0.828803,1834,1502,1.22104,5936,3405,1.74332,Pass
115,544,8.74301e-16,0,Inf,0.000240618,0.000365,0.659227,490,696,0.704023,9063,16869,0.537258,Pass
119,1461,1.22152e-13,6.66134e-16,5.21153,0.000762464,0.00082,0.929834,3086,2543,1.21353,47658,28153,1.69282,Pass
95,1491,7.59809e-16,7.79315e-16,-0.0253482,0.000673236,0.000923,0.7294,2097,3074,0.682173,106853,159495,0.669946,Pass
215,1360,5.00972e-11,9.91871e-15,8.5273,0.000852228,0.000942,0.904701,5578,4118,1.35454,104497,42247,2.47348,Pass
1198,796,5.71802e-11,5.55437e-16,11.542,0.000397261,0.000441,0.900819,1748,1135,1.54009,10001,3962,2.52423,Pass
2559,1514,1.24289e-10,3.48457e-15,10.482,0.000585727,0.000647,0.905297,4975,3214,1.54792,82050,37429,2.19215,Pass
1112,708,1.38243e-10,9.99201e-16,11.8376,0.000397558,0.000484,0.821401,1501,1061,1.4147,6625,2678,2.47386,Pass
16,1612,8.08242e-14,5.55979e-16,4.9793,0.000761505,0.000877,0.868307,2341,2255,1.03814,36756,33122,1.10972,Pass
1169,1564,1.04774e-09,1.11022e-16,16.0602,0.000736487,0.000838,0.878863,3111,2415,1.2882,12648,6668,1.89682,Pass
17,1623,5.84533e-14,6.08107e-15,2.26305,0.000848263,0.000964,0.879941,2766,2111,1.31028,20656,9193,2.24693,Pass
117,1629,5.01821e-14,7.47836e-16,4.20623,0.000646981,0.00088,0.735206,3103,3433,0.903874,50726,69607,0.728749,Pass
247,1,0,0,NaN,2.1313e-05,0.000101,0.21102,2,1,2,0,0,NaN,Pass
249,1,0,0,NaN,2.0843e-05,0.000285,0.0731333,2,1,2,0,0,NaN,Pass
248,1,0,0,NaN,2.2471e-05,9.9e-05,0.22698,2,1,2,0,0,NaN,Pass
268,429,4.92349e-14,1.22125e-15,3.69673,0.000255203,0.00036,0.708897,911,616,1.4789,5862,2185,2.68284,Pass
116,1743,2.41061e-13,1.12166e-14,3.06765,0.000826814,0.000972,0.850632,5770,4003,1.44142,167506,67439,2.48382,Pass
1641,324,3.66407e-12,2.22546e-16,9.70895,0.000104518,0.000155,0.67431,325,324,1.00309,3723,3723,1,Pass
202,1753,3.54328e-13,1.93526e-14,2.9074,0.000857339,0.001206,0.710895,7002,8221,0.851721,157003,178243,0.880837,Pass
231,1752,2.03641e-14,3.95517e-15,1.63875,0.0010232,0.001186,0.862732,7577,5619,1.34846,103976,52042,1.99792,Pass
96,1777,1.3288e-15,2.44557e-16,1.69258,0.00092761,0.00105,0.883438,3065,4760,0.643908,268498,234377,1.14558,Pass
2748,1783,3.07939e-12,2.08055e-14,4.99727,0.00115569,0.000815,1.41802,26568,4641,5.72463,2.03104e+06,56969,35.6518,Pass
884,1794,4.95447e-13,8.01696e-14,1.82132,0.00100731,0.001302,0.773664,10090,10198,0.98941,357213,397585,0.898457,Pass
335,1847,4.67439e-13,4.75302e-13,-0.0166815,0.00144537,0.00166,0.870705,14099,10975,1.28465,369300,205085,1.80072,Pass
267,1255,2.05064e-12,7.28151e-15,5.64057,0.000790211,0.000996,0.793385,4329,2921,1.48203,53244,22666,2.34907,Pass
321,1996,6.36735e-12,1.5054e-17,12.9551,0.000784888,0.000547,1.4349,2674,1996,1.33968,5215,2743,1.9012,Pass
266,2053,1.13235e-12,9.02111e-16,7.13507,0.0015369,0.001438,1.06878,15928,9947,1.60129,461710,206373,2.23726,Pass
1639,324,3.66407e-12,2.22546e-16,9.70895,0.00010717,0.000181,0.592099,325,324,1.00309,3723,3723,1,Pass
8,2208,1.51489e-13,8.46898e-15,2.88411,0.000937734,0.001162,0.807,5171,5190,0.996339,104789,117833,0.889301,Pass
1864,2319,2.70298e-13,1.11022e-16,7.79755,0.00121639,0.000604,2.01389,23880,2325,10.271,252308,7748,32.5643,Pass
2421,2342,3.24058e-13,3.10328e-14,2.34588,0.00159307,0.001781,0.894481,8699,7831,1.11084,198144,127034,1.55977,Pass
2015,2400,6.12456e-13,9.23046e-15,4.19497,0.00427785,0.002853,1.49942,27327,15543,1.75815,9.28732e+06,2.20791e+06,4.20638,Pass
926,2417,3.29908e-13,2.70075e-16,7.10787,0.00134075,0.001291,1.03854,11413,6851,1.66589,240761,81426,2.95681,Pass
122,2448,5.83977e-14,1.19465e-15,3.88943,0.000956988,0.001085,0.882017,4000,5152,0.776398,96482,106072,0.90959,Pass
254,1,0,0,NaN,2.0902e-05,9.3e-05,0.224753,2,1,2,0,0,NaN,Pass
310,2480,1.43516e-13,1.27229e-13,0.120461,0.0015489,0.001678,0.923063,14089,9269,1.52001,290548,131614,2.20758,Pass
311,2500,1.58736e-14,2.26386e-16,4.25017,0.0015318,0.001442,1.06227,14278,9829,1.45264,317525,158563,2.00252,Pass
121,2523,3.30846e-14,9.94915e-16,3.50417,0.00128609,0.001786,0.720095,5542,7746,0.715466,611306,528057,1.15765,Pass
100,2540,1.93704e-13,1.03043e-15,5.23636,0.00141054,0.001315,1.07265,10378,5447,1.90527,816447,136359,5.98748,Pass
1634,2580,2.24099e-10,6.54893e-14,8.13796,0.0017258,0.001339,1.28887,19968,11090,1.80054,627315,217256,2.88745,Pass
149,1217,0.00781471,5.84402e-17,32.5268,0.000467594,0.000585,0.799306,2652,2438,1.08778,15354,12812,1.19841,Fail
212,2572,896,6.35478e-17,44.0927,0.000672618,0.000736,0.913883,5038,2846,1.7702,95699,35079,2.7281,Fail
2749,2699,4.32946e-10,9.98596e-15,10.6772,0.00324779,0.001645,1.97434,60241,5809,10.3703,6.81055e+06,59469,114.523,Pass
203,2716,1.02724e-12,1.15085e-13,2.18896,0.00156417,0.001748,0.894834,13372,13390,0.998656,351236,389902,0.900831,Pass
929,2779,6.01757e-11,1.84125e-16,12.6972,0.00146738,0.001283,1.14371,14634,8663,1.68925,344722,115896,2.97441,Pass
190,2237,1.55814e-05,2.62878e-14,20.2002,0.00145447,0.001563,0.930563,16377,14073,1.16372,556688,392846,1.41706,Fail
269,1966,2.05064e-12,1.72605e-15,7.08007,0.00138568,0.001298,1.06755,7381,5497,1.34273,94298,54909,1.71735,Pass
307,1436,1.09174e-15,7.76289e-17,2.64359,0.000355921,0.000397,0.896526,1586,1444,1.09834,6694,5466,1.22466,Pass
2718,2903,2.02277e-13,7.11453e-15,3.3475,0.0013348,0.001427,0.935389,10760,8036,1.33897,169389,82107,2.06303,Pass
295,1555,2.42774e-18,1.50878e-16,-4.12951,0.000691354,0.000725,0.953592,6028,4285,1.40677,104613,53538,1.954,Pass
98,2916,2.23606e-13,1.90357e-15,4.76615,0.00141777,0.001274,1.11285,8252,6245,1.32138,1.02881e+06,197720,5.20339,Pass
1627,2814,1.18256e-06,8.18789e-16,21.0909,0.00127771,0.001681,0.760089,5241,5226,1.00287,22782,23600,0.965339,Pass
124,2953,1.57097e-14,5.91644e-15,0.976541,0.00127402,0.001466,0.869045,4061,8009,0.507055,237706,323416,0.734985,Pass
255,884,8.84635e-14,4.26742e-15,3.03158,0.0003876,0.000485,0.799175,2070,1552,1.33376,16548,9554,1.73205,Pass
99,3082,4.80298e-13,2.42695e-14,2.98519,0.0015883,0.001379,1.15178,13076,7358,1.77711,829410,219157,3.78455,Pass
824,3019,5.61815e-13,3.91281e-15,4.96692,0.00121283,0.001148,1.05647,9478,6663,1.42248,246436,119978,2.05401,Pass
126,1613,1.16573e-14,3.33067e-16,3.55535,0.000632466,0.000725,0.872367,2376,2408,0.986711,29650,25355,1.16939,Pass
256,748,9.18623e-15,6.20511e-15,0.392333,0.000372512,0.000538,0.692401,2099,1361,1.54225,18321,7302,2.50904,Pass
2560,3170,2.20277e-10,4.14616e-15,10.8805,0.00123867,0.001112,1.11391,11089,7494,1.47972,195505,97111,2.01321,Pass
123,3214,3.05117e-13,2.38039e-14,2.55085,0.00153256,0.001468,1.04398,13494,9777,1.38018,533741,289949,1.84081,Pass
82,1,0,0,NaN,2.2735e-05,7.7e-05,0.29526,2,1,2,0,0,NaN,Pass
257,1743,7.55611e-14,8.88178e-16,4.44352,0.000670802,0.000815,0.82307,4828,3373,1.43137,75098,33928,2.21345,Pass
328,3234,5.49316e-06,4.09395e-16,23.3198,0.00143018,0.001784,0.80167,6103,5921,1.03074,28378,25459,1.11465,Pass
234,3240,1.21546e-09,3.33504e-16,15.1087,0.00133361,0.001055,1.26409,9789,8562,1.14331,112140,88003,1.27427,Pass
2691,3477,2.6029e-11,3.69925e-15,8.85883,0.00303639,0.001345,2.25754,60166,8807,6.83161,7.73697e+06,108129,71.5531,Pass
114,3493,2.7478e-15,1.77884e-15,0.434839,0.00119736,0.001634,0.732778,2603,9229,0.282046,547453,916024,0.59764,Pass
128,1564,4.10227e-14,3.93204e-16,4.64755,0.000615965,0.000819,0.752094,2559,3634,0.704183,92378,99929,0.924436,Pass
270,2604,9.82299e-11,1.22125e-15,11.2952,0.00121062,0.001458,0.830329,4825,3778,1.27713,16065,9043,1.77651,Pass
1637,324,3.66407e-12,2.22546e-16,9.70895,0.000101595,0.000132,0.769659,325,324,1.00309,3723,3723,1,Pass
125,3563,1.1757e-13,7.22457e-15,2.78955,0.00160028,0.00227,0.704969,10048,18256,0.550394,353339,951525,0.37134,Pass
2429,3640,3.66241e-13,6.50813e-15,4.03024,0.0028857,0.002991,0.964794,15692,12262,1.27973,814431,306205,2.65976,Pass
292,1961,1.335e-12,6.56873e-15,5.31437,0.000733265,0.000742,0.988228,7053,4653,1.5158,129721,62835,2.06447,Pass
240,3427,2.33063e-12,4.33193e-16,8.59046,0.00286885,0.002082,1.37793,39777,17857,2.22753,2.3373e+06,474464,4.9262,Pass
251,2248,1.22612e-07,8.10771e-16,18.8343,0.00136333,0.001015,1.34318,15475,8237,1.87872,690244,209976,3.28725,Pass
245,3228,3.25237e-11,4.37913e-16,11.2155,0.0020938,0.001696,1.23455,26395,13536,1.94999,935558,249213,3.75405,Pass
87,125,6.41709e-14,1.52656e-16,6.04112,0.000130231,0.000187,0.696422,197,171,1.15205,379,291,1.30241,Pass
101,3809,7.72905e-13,4.77904e-14,2.78333,0.00229774,0.00284,0.809063,23260,23081,1.00776,2.18168e+06,1.73278e+06,1.25906,Pass
308,1948,6.45276e-16,7.63278e-17,2.13464,0.000484094,0.000496,0.975996,2113,1956,1.08027,7582,6298,1.20387,Pass
204,3889,1.97965e-12,3.80945e-13,1.64802,0.00234473,0.002569,0.912701,22905,24690,0.927704,888165,728120,1.21981,Pass
2750,3952,1.36157e-07,1.13597e-14,16.2993,0.00425615,0.001879,2.26511,93818,8564,10.9549,1.26451e+07,97659,129.482,Pass
280,3988,6.12961e-10,1.85338e-14,10.4065,0.00258863,0.002172,1.19182,25368,15420,1.64514,596295,193872,3.07571,Pass
319,3996,2.54667e-11,1.11022e-16,12.3432,0.00108451,0.001151,0.942233,5192,3996,1.2993,9957,5493,1.81267,Pass
88,583,4.44089e-14,1.04083e-15,3.75342,0.000350398,0.000469,0.747117,1153,887,1.29989,4359,2057,2.11911,Pass
216,3858,9.85216e-11,9.10795e-15,9.28888,0.00274661,0.002373,1.15744,24089,18166,1.32605,839258,438048,1.9159,Pass
89,818,8.61533e-14,2.01228e-16,6.05945,0.000455905,0.000624,0.730617,1811,1351,1.34049,8288,3853,2.15105,Pass
450,3235,9.17982e-13,3.05354e-16,8.00846,0.00193906,0.001836,1.05613,8111,6100,1.32967,51780,25962,1.99445,Pass
451,3734,5.18865e-16,1.23339e-15,-0.865877,0.00198821,0.001899,1.04698,9919,6670,1.48711,63535,25881,2.45489,Pass
145,3744,4.20675e-15,1.11022e-16,3.63472,0.00160014,0.001477,1.08337,14728,12382,1.18947,243857,172629,1.41261,Pass
406,4317,1.09356e-14,6.58845e-15,0.506705,0.00118126,0.001143,1.03347,14514,11121,1.3051,566884,334467,1.69489,Pass
325,4380,2.81815e-11,3.41274e-16,11.3215,0.00292492,0.002171,1.34727,34898,19562,1.78397,1.09162e+06,354981,3.07516,Pass
90,1105,1.58463e-13,3.49854e-15,3.81318,0.000599802,0.000768,0.780992,2779,1866,1.48928,20965,6749,3.10639,Pass
2751,4593,0.00259649,9.5398e-15,26.3297,0.00532835,0.001889,2.82073,118380,10171,11.639,1.79885e+07,125338,143.52,Fail
2754,4597,2.47173e-05,1.34859e-14,21.3291,0.00579774,0.001871,3.09874,129975,10144,12.813,2.09385e+07,117274,178.543,Fail
1636,4640,1.56152e-10,1.34692e-13,7.0556,0.00322683,0.002383,1.3541,42833,23634,1.81235,1.65546e+06,598519,2.76592,Pass
83,1014,2.65513e-13,2.0782e-15,4.85016,0.000540182,0.000719,0.751296,2591,1629,1.59055,20973,5618,3.73318,Pass
300,4681,5.83087e-11,4.09788e-16,11.8656,0.00312828,0.002259,1.38481,36796,20873,1.76285,1.15715e+06,379948,3.04556,Pass
2752,4690,4.40934e-05,1.27132e-14,21.9669,0.00545575,0.00188,2.90199,123090,10465,11.7621,1.92396e+07,132713,144.971,Fail
84,1091,3.42837e-13,1.35678e-15,5.53214,0.000583886,0.000864,0.675794,2848,1937,1.47031,22687,8546,2.65469,Pass
2755,4776,0.00270618,1.29428e-14,26.066,0.00654492,0.002352,2.7827,115812,10644,10.8805,1.73548e+07,124880,138.972,Fail
85,1880,5.68545e-13,2.87335e-15,5.2876,0.00103152,0.001214,0.849687,6143,3535,1.73777,79028,17505,4.5146,Pass
2753,4795,0.00724987,1.20376e-14,27.124,0.00569835,0.002229,2.55646,128911,10632,12.1248,2.08749e+07,139497,149.644,Fail
86,1155,1.72406e-13,1.94289e-15,4.48567,0.000605803,0.000789,0.767811,3617,2052,1.76267,39747,9359,4.24693,Pass
2736,4941,5.6044e-13,2.09473e-15,5.5893,0.00245052,0.002404,1.01935,29846,18970,1.57333,1.22021e+06,466264,2.61699,Pass
130,5104,3.33067e-15,3.65167e-16,2.21057,0.0023034,0.002748,0.83821,8465,12395,0.682937,488867,1.06393e+06,0.459491,Pass
131,3922,7.03353e-13,9.73808e-14,1.97723,0.00227323,0.002601,0.873983,21465,24554,0.874196,1.51748e+06,1.36817e+06,1.10913,Pass
1638,324,3.66407e-12,2.22546e-16,9.70895,0.00010586,0.000139,0.761583,325,324,1.00309,3723,3723,1,Pass
2673,5243,5.34155e-06,1.56031e-15,21.9539,0.00453907,0.002311,1.96412,60092,16411,3.66169,6.28483e+06,246864,25.4587,Pass
205,5272,6.40793e-12,1.9451e-13,3.49481,0.00339941,0.004283,0.793698,33607,40399,0.831877,1.46191e+06,1.4702e+06,0.99436,Pass
18,5300,2.19351e-13,2.84197e-15,4.34617,0.00278838,0.00303,0.920257,10177,7641,1.33189,93162,47688,1.95357,Pass
2665,5367,2.1616e-11,1.50476e-14,7.26997,0.00419226,0.002424,1.72948,74923,21023,3.56386,1.00939e+07,443121,22.779,Pass
1346,179,4.69893e-16,3.67918e-17,2.54723,0.000154391,0.00018,0.857728,324,199,1.62814,1829,303,6.0363,Pass
271,3988,4.49074e-12,9.99201e-16,8.41057,0.00186197,0.002103,0.885388,7995,6048,1.32192,32188,16475,1.95375,Pass
333,5632,3.05076e-10,4.86132e-14,8.74442,0.00417506,0.003208,1.30145,57997,31234,1.85685,2.64384e+06,917399,2.88189,Pass
2735,5535,6.64453e-12,1.72827e-14,5.95185,0.00245301,0.003145,0.779971,45901,30018,1.52912,4.58166e+06,2.03544e+06,2.25094,Pass
19,5824,4.20705e-13,3.13638e-15,4.89886,0.00298052,0.003238,0.920482,10921,8247,1.32424,91470,48458,1.88761,Pass
1059,337,5.55112e-16,2.46292e-17,3.11523,0.000241258,0.000294,0.820605,425,432,0.983796,633,693,0.91342,Pass
1061,337,3.53066e-16,5.55112e-17,1.85007,0.000218416,0.00029,0.753159,428,432,0.990741,633,693,0.91342,Pass
1060,337,2.22045e-16,1.11022e-16,0.693147,0.000219835,0.000323,0.680604,429,432,0.993056,650,693,0.937951,Pass
1896,5056,1.14686e-13,6.40957e-16,5.18699,0.00270977,0.002748,0.986088,19794,14478,1.36718,356254,174658,2.03972,Pass
1058,335,8.88395e-16,2.32021e-17,3.64517,0.000216511,0.000267,0.810903,420,428,0.981308,627,679,0.923417,Pass
1062,337,4.71845e-16,2.77556e-17,2.83321,0.000233023,0.000243,0.958942,430,432,0.99537,648,693,0.935065,Pass
1055,337,2.77559e-16,1.11022e-16,0.916304,0.000252475,0.000236,1.06981,431,432,0.997685,649,693,0.936508,Pass
226,5970,8.67129e-09,2.54849e-16,17.3426,0.00538435,0.003675,1.46513,78971,38834,2.03355,5.59294e+06,1.62509e+06,3.44161,Pass
152,5628,2.98025e-08,8.56723e-17,19.6673,0.00283214,0.002913,0.972242,27542,22172,1.2422,687958,518933,1.32572,Pass
297,3131,7.36039e-18,1.01027e-16,-2.61928,0.00159621,0.001232,1.29563,16576,11181,1.48251,443688,206160,2.15215,Pass
134,5994,8.19657e-16,8.90381e-16,-0.082764,0.00208012,0.002634,0.789719,6621,14525,0.455835,241745,484661,0.498792,Pass
127,6027,1.35804e-13,4.6474e-16,5.67749,0.00283514,0.003306,0.857574,14325,29750,0.481513,1.88431e+06,2.13821e+06,0.881255,Pass
20,6050,1.03565e-13,8.25034e-15,2.52994,0.00327205,0.0032,1.02252,12438,8871,1.4021,127746,56518,2.26027,Pass
2720,6095,4.36541e-12,2.39943e-14,5.20365,0.00272013,0.002597,1.04741,26685,18525,1.44049,646886,281873,2.29496,Pass
1626,6070,1.79315e-06,7.11596e-15,19.3449,0.00260063,0.00307,0.847111,13306,11561,1.15094,77534,49950,1.55223,Pass
176,6264,1.07495e-12,2.87869e-13,1.31753,0.00374379,0.00502,0.745775,36274,57317,0.632866,1.34146e+06,2.26853e+06,0.591336,Pass
2561,6333,4.92472e-09,6.51172e-15,13.5362,0.00267867,0.002161,1.23955,21471,15776,1.36099,345682,206227,1.67622,Pass
21,6511,1.34018e-13,1.94289e-15,4.2338,0.00349193,0.003701,0.94351,13846,9957,1.39058,155912,61854,2.52065,Pass
2719,6523,1.57128e-12,2.42859e-14,4.16975,0.00286646,0.0025,1.14658,27898,19734,1.4137,739004,341378,2.16477,Pass
